Type,Localisation,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Current_state,Age
Appartements,Gauthier ,4200000.0,Casablanca,244.0,5.0,3.0,3.0,6.0,Non Specifique,Non Specifique
Villas,CIL (Hay Salam) ,10900000.0,Casablanca,565.0,5.0,4.0,3.0,0.0,Non Specifique,Non Specifique
Appartements,Racine ,2790000.0,Casablanca,200.0,4.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Sidi Maarouf ,4800000.0,Casablanca,250.0,5.0,3.0,3.0,0.0,Non Specifique,Non Specifique
Villas,Laymoune ,7800000.0,Casablanca,392.0,8.0,5.0,5.0,0.0,Non Specifique,Non Specifique
Appartements,Gauthier ,3328000.0,Casablanca,228.0,3.0,3.0,3.0,3.0,Non Specifique,Non Specifique
Villas,Californie ,5500000.0,Casablanca,256.0,6.0,4.0,4.0,0.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,2150000.0,Casablanca,131.0,4.0,3.0,2.0,4.0,Non Specifique,Non Specifique
Villas,Ain Diab Extension ,13000000.0,Casablanca,608.0,6.0,5.0,6.0,0.0,Non Specifique,Non Specifique
Villas,Longchamps (Hay Al Hanâa) ,10500000.0,Casablanca,600.0,6.0,6.0,6.0,0.0,Non Specifique,Non Specifique
Villas,Californie ,17000000.0,Casablanca,780.0,10.0,7.0,8.0,0.0,Non Specifique,Non Specifique
Appartements,CIL (Hay Salam) ,2400000.0,Casablanca,175.0,5.0,4.0,2.0,5.0,Non Specifique,Non Specifique
Villas,Ain Diab ,18525000.0,Casablanca,1235.0,10.0,7.0,8.0,0.0,Non Specifique,Non Specifique
Villas,Les princesses ,14000000.0,Casablanca,1068.0,8.0,5.0,6.0,0.0,Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,2350000.0,Casablanca,116.0,3.0,2.0,2.0,1.0,Non Specifique,Non Specifique
Appartements,Californie ,2282580.0,Casablanca,119.0,3.0,2.0,0.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,1865650.0,Casablanca,121.0,3.0,2.0,0.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,2464050.0,Casablanca,141.0,4.0,3.0,0.0,0.0,Non Specifique,Non Specifique
Appartements,Californie ,2758050.0,Casablanca,147.0,4.0,3.0,0.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,2340600.0,Casablanca,124.0,4.0,3.0,0.0,1.0,Non Specifique,Non Specifique
Appartements,Californie ,2884800.0,Casablanca,164.0,4.0,3.0,0.0,1.0,Non Specifique,Non Specifique
Appartements,Californie ,1911600.0,Casablanca,106.0,3.0,2.0,0.0,0.0,Non Specifique,Non Specifique
Appartements,Californie ,2735500.0,Casablanca,148.0,4.0,3.0,0.0,3.0,Non Specifique,Non Specifique
Villas,Longchamps (Hay Al Hanâa) ,11700000.0,Casablanca,470.0,3.0,5.0,4.0,0.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,2500000.0,Casablanca,131.0,2.0,3.0,2.0,3.0,Non Specifique,Non Specifique
Villas,Californie ,7500000.0,Casablanca,434.0,4.0,4.0,4.0,0.0,Non Specifique,Non Specifique
Villas,El Manar - El Hank ,10000000.0,Casablanca,490.0,9.0,5.0,5.0,0.0,Non Specifique,Non Specifique
Villas,Ain Diab Extension ,7500000.0,Casablanca,395.0,9.0,5.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,El Manar - El Hank ,1995968.0,Casablanca,127.0,4.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Oulfa ,1260000.0,Casablanca,110.0,4.0,3.0,1.0,0.0,Non Specifique,Non Specifique
Villas,El Manar - El Hank ,7600000.0,Casablanca,480.0,1.0,1.0,1.0,0.0,Non Specifique,Non Specifique
Villas,Sidi Maarouf ,6800000.0,Casablanca,450.0,7.0,4.0,4.0,0.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,1250000.0,Casablanca,80.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Californie ,16000000.0,Casablanca,1000.0,5.0,4.0,3.0,0.0,Non Specifique,Non Specifique
Appartements,Belvédère ,1180000.0,Casablanca,102.0,4.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Racine ,3900000.0,Casablanca,217.0,6.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Californie ,35000000.0,Casablanca,2500.0,4.0,4.0,4.0,0.0,Non Specifique,Non Specifique
