Type,Localisation,Title,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Current_state,Age
Appartements,CIL (Hay Salam) ,Appartement à vendre de deux chambres au CIL,1500000.0,Casablanca,102.0,4.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Racine ,Appartement HS sans vis à vis Bd d'Anfa,1850000.0,Casablanca,82.0,3.0,2.0,2.0,3.0,[],Non Specifique,Non Specifique
Appartements,Les princesses ,Casablanca Vente d'appartement 200m2/5eme etage,3200000.0,Casablanca,200.0,6.0,3.0,3.0,5.0,[],Non Specifique,Non Specifique
Appartements,Racine ,Av appartement grand balcon racine casablanca,1800000.0,Casablanca,82.0,5.0,2.0,1.0,2.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement Rez-de-jardin de 136m² en vente UTOPIA,1565360.0,Casablanca,136.0,3.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,"Appartement F3 de 112m² en vente Résidence Occitania, Casablanca",1612120.0,Casablanca,112.0,3.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Oasis ,"Appartement de 151m² en vente, Résidence les Jardins de l’Oasis",2701000.0,Casablanca,151.0,4.0,3.0,2.0,1.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement en RDC de 114m² 2 chambres salon à Jnane Californie,1539000.0,Casablanca,114.0,3.0,2.0,2.0,3.0,[],Non Specifique,Non Specifique
Appartements,Racine ,TOP Duplex 5ème Etg 182 m2 3CH Terrasse à Racine,4300000.0,Casablanca,182.0,6.0,3.0,2.0,5.0,[],Non Specifique,Non Specifique
Appartements,Gauthier ,Top Appartement 244 m2 dernier étage avec terrasse,4200000.0,Casablanca,244.0,5.0,3.0,3.0,6.0,[],Non Specifique,Non Specifique
Villas,CIL (Hay Salam) ,Belle villa de 600m2 à vendre,10900000.0,Casablanca,565.0,5.0,4.0,3.0,,[],Non Specifique,Non Specifique
Appartements,Racine ,Superbe Affaire: Appartement de 200 m² Racine,2790000.0,Casablanca,200.0,4.0,3.0,2.0,,[],Non Specifique,Non Specifique
Villas,Sidi Maarouf ,Villa de luxe à vendre à Sidi Maarouf. Superficie 250 m². Système de parabole et salon marocain,4800000.0,Casablanca,250.0,5.0,3.0,3.0,,[],Non Specifique,Non Specifique
Villas,Laymoune ,villa 392 m2 laymoune,7800000.0,Casablanca,392.0,8.0,5.0,5.0,,[],Non Specifique,Non Specifique
Appartements,Gauthier ,a vendre 228 m2 gauthier,3328000.0,Casablanca,228.0,3.0,3.0,3.0,3.0,[],Non Specifique,Non Specifique
Villas,Californie ,Vente villa à Californie,5500000.0,Casablanca,256.0,6.0,4.0,4.0,,[],Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,Appartement sans vis à vis 131 m2 à Racine extension,2150000.0,Casablanca,131.0,4.0,3.0,2.0,4.0,[],Non Specifique,Non Specifique
Villas,Ain Diab Extension ,DV. 598: Superbe villa avec piscine à Aïn Diab:,13000000.0,Casablanca,608.0,6.0,5.0,6.0,,[],Non Specifique,Non Specifique
Villas,Longchamps (Hay Al Hanâa) ,DV. 377: Villa Commerciale à El Hana de 469 m²:,10500000.0,Casablanca,600.0,6.0,6.0,6.0,,[],Non Specifique,Non Specifique
Villas,Californie ,DV. 442: Superbe Villa à Californie:,17000000.0,Casablanca,780.0,10.0,7.0,8.0,,[],Non Specifique,Non Specifique
Appartements,CIL (Hay Salam) ,Appart 4 chambres bien ensoleillé,2400000.0,Casablanca,175.0,5.0,4.0,2.0,5.0,[],Non Specifique,Non Specifique
Villas,Ain Diab ,DV. 621: Villa de 1235 m² Bd Abdelkrim Khattabi,18525000.0,Casablanca,1235.0,10.0,7.0,8.0,,[],Non Specifique,Non Specifique
Villas,Les princesses ,DV. 653: Villa de 1068 m² Anfa:,14000000.0,Casablanca,1068.0,8.0,5.0,6.0,,[],Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,DV. 551: Superbe 2 Ch C. F. C. – C. I. L.:,2350000.0,Casablanca,116.0,3.0,2.0,2.0,1.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 119m² en vente California Parc,2282580.0,Casablanca,119.0,3.0,2.0,,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 121m² en vente California Parc,1865650.0,Casablanca,121.0,3.0,2.0,,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement au RDC de 141m² en vente California Parc,2464050.0,Casablanca,141.0,4.0,3.0,,,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 147m² en vente California Parc,2758050.0,Casablanca,147.0,4.0,3.0,,3.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 124m² en vente California Parc,2340600.0,Casablanca,124.0,4.0,3.0,,1.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 164m² en vente California Parc,2884800.0,Casablanca,164.0,4.0,3.0,,1.0,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement au RDC de 106m² en vente California Parc,1911600.0,Casablanca,106.0,3.0,2.0,,,[],Non Specifique,Non Specifique
Appartements,Californie ,Appartement de 148m² en vente California Parc,2735500.0,Casablanca,148.0,4.0,3.0,,3.0,[],Non Specifique,Non Specifique
Villas,Longchamps (Hay Al Hanâa) ,Casablanca quartier longs champs A vendre villa,11700000.0,Casablanca,470.0,3.0,5.0,4.0,,[],Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,A vendre un très joli appartement de 131m2,2500000.0,Casablanca,131.0,2.0,3.0,2.0,3.0,[],Non Specifique,Non Specifique
Villas,Californie ,A vendre joli villa 434 m2 californie,7500000.0,Casablanca,434.0,4.0,4.0,4.0,,[],Non Specifique,Non Specifique
Villas,El Manar - El Hank ,Villa de 490m² a vendre a quartier el manar,10000000.0,Casablanca,490.0,9.0,5.0,5.0,,[],Non Specifique,Non Specifique
Villas,Ain Diab Extension ,Villa 395 m² 5 chambres SUD sans vis à vis,7500000.0,Casablanca,395.0,9.0,5.0,2.0,,[],Non Specifique,Non Specifique
Appartements,El Manar - El Hank ,"Appartement de 127m² en vente, Les terrasses d'anfa",1995968.0,Casablanca,127.0,4.0,3.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Oulfa ,"Appartement de 110m² en vente, Dans le quartier Farah Cité Essalam EL OULFA",1260000.0,Casablanca,110.0,4.0,3.0,1.0,,[],Non Specifique,Non Specifique
Villas,El Manar - El Hank ,VENTE VILLA DE 480 m² A AL MANAR,7600000.0,Casablanca,480.0,1.0,1.0,1.0,,[],Non Specifique,Non Specifique
Villas,Sidi Maarouf ,Villa à la vente exceptionnelle A SIDI MAAROUF,6800000.0,Casablanca,450.0,7.0,4.0,4.0,,[],Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,Appartement à vendre à BOURGOGNE,1250000.0,Casablanca,80.0,3.0,2.0,2.0,,[],Non Specifique,Non Specifique
Villas,Californie ,Splendide villa à vendre à Californie. 5 pièces. Tout confort avec cheminée et climatisation,16000000.0,Casablanca,1000.0,5.0,4.0,3.0,,[],Non Specifique,Non Specifique
